Content,Date Published,COM+,SHR,LDR,DIS,LIK,SUBL,SUBG,RETV,NEWV,AVV,UQV,APV,AVD,AVDS,VIEWS,WT,SUBG,IMP,CTR
MCAT Study 72,6/21/2024,0,0,100,0,7,0,1,0,0,0,0,2.3,0:01:20,80,107,2.4059,1,3792,2.06
MCAT Study 73,6/21/2024,2,1,100,0,7,0,2,0,0,0,0,2.67,0:01:48,108,264,7.9335,2,6114,3.07
MCAT Study 74,6/22/2024,0,0,100,0,3,1,2,0,0,0,0,1.15,0:01:31,91,103,2.6193,1,3390,2.06
MCAT Study 75,6/22/2024,1,0,100,0,2,0,2,0,0,0,0,1.09,0:01:05,65,194,3.52,2,3657,3.61
MCAT Study 76,6/22/2024,0,0,100,0,1,0,3,0,0,0,0,1.25,0:00:55,55,139,2.1304,3,3864,2.82
MCAT Study 77,6/22/2024,0,0,100,0,1,0,0,0,0,0,0,0.93,0:00:45,45,83,1.0478,0,2895,2.11
MCAT Study 78,6/23/2024,3,0,100,0,5,0,1,0,0,0,0,2.86,0:01:43,103,143,4.127,1,4451,2.2
MCAT Study 79,6/24/2024,1,2,100,0,3,0,1,0,0,0,0,1.76,0:01:50,110,280,8.578,1,4429,3.95
MCAT Study 80,7/2/2024,0,0,100,0,2,0,0,0,0,0,0,0.86,0:00:40,40,132,1.491,0,3728,2.58
MCAT Study 81,7/3/2024,2,0,100,0,6,0,2,0,0,0,0,0.82,0:01:31,91,219,5.581,2,5060,3.2
MCAT Study 82,7/4/2024,0,0,0,0,0,0,0,0,0,0,0,0.88,0:00:42,42,75,0.8789,0,3275,1.62
MCAT Study 83,7/4/2024,3,0,100,0,2,1,0,0,0,0,0,20.48,0:20:32,1232,145,49.6581,-1,4252,2.23
MCAT Study 84,7/4/2024,0,1,100,0,1,0,0,0,0,0,0,3.38,0:02:12,132,92,3.3935,0,2734,2.38
MCAT Study 85,7/6/2024,0,0,100,0,2,0,0,0,0,0,0,0.94,0:01:01,61,64,1.099,0,3440,1.4
MCAT Study 86,7/6/2024,0,0,100,0,3,0,1,0,0,0,0,0.71,0:00:48,48,81,1.0939,1,3437,1.57
MCAT Study 87,7/6/2024,0,0,100,0,3,0,0,0,0,0,0,3.71,0:03:15,195,93,5.0574,0,2602,2.54
MCAT Study 88,7/7/2024,1,0,100,0,2,0,0,0,0,0,0,1.72,0:00:49,49,127,1.7543,0,4078,2.11
MCAT Study 89,7/7/2024,0,0,100,0,2,0,0,0,0,0,0,0.91,0:01:09,69,179,3.4608,0,3815,3.46
MCAT Study 90,7/9/2024,0,0,100,0,1,0,0,0,0,0,0,1.33,0:00:50,50,81,1.1426,0,3757,1.25
MCAT Study 91,7/9/2024,0,0,0,0,0,0,0,0,0,0,0,0.79,0:01:37,97,65,1.7601,0,2932,1.57
MCAT Study 92,7/9/2024,0,0,100,0,3,0,0,0,0,0,0,1.51,0:02:05,125,157,5.4704,0,3507,3.28
MCAT Study 93,7/11/2024,2,0,100,0,3,0,2,0,0,0,0,1.69,0:01:28,88,215,5.2877,2,4085,3.79
MCAT Study 94,7/14/2024,0,0,0,0,0,0,0,0,0,0,0,2.28,0:01:44,104,161,4.6553,0,5537,2.09
MCAT Study 95,7/15/2024,0,0,0,0,0,0,0,0,0,0,0,2.18,0:03:41,221,55,3.3884,0,3366,1.13
MCAT Study 96,7/15/2024,1,0,100,0,9,0,2,0,0,0,0,1.68,0:01:30,90,347,8.7138,2,9244,2.63
